name,email,birthdate,signup_date,category,purchase_amount,age,age_flag,birthdate_str,days_since_signup,signup_date_str,date_consistency
Shelby Hart,simmonsdiane@yahoo.com,1964-09-13,2023-08-10,Sports,250.568350877193,61,Valid,13-09-1964,623,10-08-2023,Valid
Rachel Jones,ythomas@yahoo.com,1972-09-30,2024-07-30,Groceries,305.69,53,Valid,30-09-1972,268,30-07-2024,Valid
Laurie Travis,zedwards@henry.org,1972-04-08,2024-09-16,Sports,201.5,53,Valid,08-04-1972,220,16-09-2024,Valid
John White DDS,charlesmarshall@mcgee.com,1995-05-25,2024-06-18,Sports,80.41,30,Valid,25-05-1995,310,18-06-2024,Valid
Christopher Bender,kyle03@taylor.com,2001-12-30,2022-09-05,Furniture,250.568350877193,24,Valid,30-12-2001,962,05-09-2022,Valid
Elizabeth Christensen,parkerlaura@yahoo.com,1979-11-18,2022-06-17,Clothing,23.72,46,Valid,18-11-1979,1042,17-06-2022,Valid
Savannah Brown,gferguson@sullivan.com,1964-05-14,2024-10-12,Clothing,101.6,61,Valid,14-05-1964,194,12-10-2024,Valid
Alejandro Cortez,lcortez@hotmail.com,1966-07-07,2023-01-17,Beauty,401.01,59,Valid,07-07-1966,828,17-01-2023,Valid
Marilyn Santiago,donald99@gross-baker.info,1968-08-29,2024-08-13,Toys,282.97,57,Valid,29-08-1968,254,13-08-2024,Valid
Nicole Santos,sherithompson@gmail.com,1961-07-12,2022-07-21,Sports,391.41,64,Valid,12-07-1961,1008,21-07-2022,Valid
Jessica Hudson,carpenterchristine@yahoo.com,1956-11-22,2023-11-12,Beauty,453.05,69,Valid,22-11-1956,529,12-11-2023,Valid
Patricia Roberts,ryan01@bates.biz,1992-10-02,2023-10-16,Books,426.41,33,Valid,02-10-1992,556,16-10-2023,Valid
David Henry,michaelsnyder@rodriguez-sanchez.info,1996-07-11,2024-05-09,Books,292.81,29,Valid,11-07-1996,350,09-05-2024,Valid
Jamie Travis,william38@hotmail.com,1980-10-07,2023-04-06,Books,107.22,45,Valid,07-10-1980,749,06-04-2023,Valid
Gabriel Lopez,phillip12@bush.com,1972-06-03,2024-02-20,Furniture,232.16,53,Valid,03-06-1972,429,20-02-2024,Valid
Jamie Shelton,valenciachristine@fletcher-cohen.com,1971-07-01,2025-03-21,Toys,454.13,54,Valid,01-07-1971,34,21-03-2025,Valid
Ronald Perez,rward@yahoo.com,2004-01-11,2022-07-24,Toys,250.568350877193,21,Valid,11-01-2004,1005,24-07-2022,Valid
Jennifer Ross,hherman@gmail.com,1996-05-16,2022-08-22,Beauty,122.36,29,Valid,16-05-1996,976,22-08-2022,Valid
Donald Smith,hannagrant@powers.com,2001-11-04,2023-11-30,Clothing,250.568350877193,24,Valid,04-11-2001,511,30-11-2023,Valid
Ricardo Sullivan,jefferyalvarado@hotmail.com,1965-07-03,2023-03-20,Groceries,33.34,60,Valid,03-07-1965,766,20-03-2023,Valid
Beth Hansen,drakemargaret@gmail.com,2004-02-03,2024-05-08,Sports,154.12,21,Valid,03-02-2004,351,08-05-2024,Valid
Nathaniel Hanson,jillian94@gmail.com,1991-09-12,2023-12-21,Toys,367.53,34,Valid,12-09-1991,490,21-12-2023,Valid
Stephen Peters,no_email@unknown.com,1991-03-25,2025-02-09,Beauty,62.64,34,Valid,25-03-1991,74,09-02-2025,Valid
David Smith,dawnhernandez@gmail.com,1980-01-21,2024-05-16,Clothing,469.39,45,Valid,21-01-1980,343,16-05-2024,Valid
Mario Collins,hwashington@gmail.com,1962-08-15,2024-03-01,Groceries,250.568350877193,63,Valid,15-08-1962,419,01-03-2024,Valid
Samantha Espinoza,rlynch@davis.com,2001-07-06,2025-01-11,Furniture,315.02,24,Valid,06-07-2001,103,11-01-2025,Valid
Heather Hurst,danielle08@hatfield.com,1985-07-01,2025-03-17,Books,144.47,40,Valid,01-07-1985,38,17-03-2025,Valid
Maxwell Anthony,luke85@yahoo.com,1955-01-14,2024-06-26,Groceries,241.83,70,Valid,14-01-1955,302,26-06-2024,Valid
Janet Roberts,hicksandre@wells.info,1969-11-14,2023-06-24,Sports,142.23,56,Valid,14-11-1969,670,24-06-2023,Valid
Unknown,vsexton@hotmail.com,1988-11-15,2023-12-06,Electronics,100.14,37,Valid,15-11-1988,505,06-12-2023,Valid
Kimberly Castillo,huangsylvia@hobbs-nelson.com,1996-11-10,2023-09-03,Beauty,473.97,29,Valid,10-11-1996,599,03-09-2023,Valid
Jordan Wright,michellehernandez@yahoo.com,1993-04-21,2022-05-05,Toys,242.08,32,Valid,21-04-1993,1085,05-05-2022,Valid
Jerry Lee,brooksautumn@gmail.com,1969-09-18,2024-10-11,Furniture,418.65,56,Valid,18-09-1969,195,11-10-2024,Valid
Kelli Ray,hamiltondonald@gmail.com,1980-05-13,2023-03-01,Furniture,147.6,45,Valid,13-05-1980,785,01-03-2023,Valid
Gloria Smith,carramanda@greene.com,1979-09-09,2024-05-07,Electronics,37.9,46,Valid,09-09-1979,352,07-05-2024,Valid
David Murray,odomjoseph@gmail.com,1985-02-16,2025-01-26,Sports,274.87,40,Valid,16-02-1985,88,26-01-2025,Valid
Marcus Smith,kevin35@hall.net,1964-12-24,2022-12-03,Furniture,31.84,61,Valid,24-12-1964,873,03-12-2022,Valid
Joel Roberts,carla29@hotmail.com,1966-04-20,2022-11-17,Electronics,222.34,59,Valid,20-04-1966,889,17-11-2022,Valid
Cynthia Obrien,edelgado@hotmail.com,1982-12-24,2022-12-22,Furniture,321.17,43,Valid,24-12-1982,854,22-12-2022,Valid
Wesley Smith,leonardpeter@yahoo.com,1973-01-21,2022-11-19,Toys,291.29,52,Valid,21-01-1973,887,19-11-2022,Valid
Karen Gonzalez,ophelps@hotmail.com,1964-09-20,2024-10-01,Beauty,429.52,61,Valid,20-09-1964,205,01-10-2024,Valid
Melanie Hobbs,smithkenneth@yahoo.com,1970-03-03,2024-03-17,Beauty,191.41,55,Valid,03-03-1970,403,17-03-2024,Valid
Betty Mitchell,jillwyatt@hotmail.com,1965-06-11,2024-09-01,Toys,207.21,60,Valid,11-06-1965,235,01-09-2024,Valid
Stephen Stevens,ngarcia@townsend.com,2004-07-03,2022-05-19,Groceries,276.28,21,Valid,03-07-2004,1071,19-05-2022,Valid
Laura Jackson,michael90@payne-wyatt.com,1958-11-06,2022-08-14,Clothing,61.5,67,Valid,06-11-1958,984,14-08-2022,Valid
Pamela Jones,no_email@unknown.com,1979-05-15,2022-07-05,Groceries,321.88,46,Valid,15-05-1979,1024,05-07-2022,Valid
Matthew Lewis,wallsjose@holt-lopez.info,1962-10-31,2022-05-20,Electronics,262.75,63,Valid,31-10-1962,1070,20-05-2022,Valid
Victor Meyers,elizabeth23@gmail.com,1998-01-04,2024-10-22,Books,475.3,27,Valid,04-01-1998,184,22-10-2024,Valid
Michael Kim,lindsay46@andrews.com,1985-07-10,2023-10-20,Books,418.13,40,Valid,10-07-1985,552,20-10-2023,Valid
Kathryn Wheeler,deannorman@gmail.com,1989-11-30,2025-02-28,Toys,348.73,36,Valid,30-11-1989,55,28-02-2025,Valid
Taylor Hays,seanwilson@rodriguez-smith.biz,1982-10-08,2023-09-11,Clothing,187.18,43,Valid,08-10-1982,591,11-09-2023,Valid
Barbara Cole,sharonnelson@yahoo.com,1963-05-27,2023-12-05,Books,202.34,62,Valid,27-05-1963,506,05-12-2023,Valid
Mary Alvarado,normanmichael@craig-blair.com,1960-04-14,2023-05-24,Toys,18.17,65,Valid,14-04-1960,701,24-05-2023,Valid
Veronica Campos,pamela05@wilson-gallegos.org,1979-10-03,2024-03-04,Electronics,406.45,46,Valid,03-10-1979,416,04-03-2024,Valid
Linda Washington,nathansandoval@yahoo.com,1956-05-07,2025-02-09,Clothing,70.85,69,Valid,07-05-1956,74,09-02-2025,Valid
Arthur Taylor,zberg@hotmail.com,2003-12-02,2022-10-22,Toys,144.31,22,Valid,02-12-2003,915,22-10-2022,Valid
Billy Garcia,peter71@hotmail.com,2003-03-29,2024-11-13,Clothing,111.95,22,Valid,29-03-2003,162,13-11-2024,Valid
Ryan Anderson,no_email@unknown.com,1994-04-24,2023-05-24,Books,366.24,31,Valid,24-04-1994,701,24-05-2023,Valid
Ruth Flowers,kingjessica@hotmail.com,1958-03-10,2024-12-14,Sports,109.8,67,Valid,10-03-1958,131,14-12-2024,Valid
Emily Hoffman,ericksonnathan@hotmail.com,1977-06-07,2025-02-08,Books,220.39,48,Valid,07-06-1977,75,08-02-2025,Valid
Joshua Cunningham,no_email@unknown.com,1989-05-01,2024-05-05,Toys,178.96,36,Valid,01-05-1989,354,05-05-2024,Valid
Ronald Kim,zthomas@gmail.com,1977-06-29,2022-11-20,Toys,250.568350877193,48,Valid,29-06-1977,886,20-11-2022,Valid
Joseph Gay DDS,rphelps@tucker.info,1978-11-01,2022-08-30,Beauty,376.0,47,Valid,01-11-1978,968,30-08-2022,Valid
Danielle Howell,tammytaylor@hotmail.com,1994-05-06,2022-07-16,Books,78.09,31,Valid,06-05-1994,1013,16-07-2022,Valid
Ryan Shelton,jesse65@gmail.com,1987-08-17,2024-03-16,Electronics,427.91,38,Valid,17-08-1987,404,16-03-2024,Valid
James Vega,vherrera@yahoo.com,1995-10-26,2025-03-17,Toys,156.22,30,Valid,26-10-1995,38,17-03-2025,Valid
Diana Molina,leahstone@gallagher-golden.info,1961-11-10,2023-09-07,Electronics,160.97,64,Valid,10-11-1961,595,07-09-2023,Valid
Deborah Golden,coleamy@bradford.net,1978-08-25,2024-08-26,Clothing,208.65,47,Valid,25-08-1978,241,26-08-2024,Valid
Kenneth Adams,annwhite@hotmail.com,1982-06-11,2024-12-28,Books,494.4,43,Valid,11-06-1982,117,28-12-2024,Valid
Kristina Clarke,gutierrezterri@gmail.com,2004-11-28,2025-03-24,Toys,93.07,21,Valid,28-11-2004,31,24-03-2025,Valid
Rhonda Stewart,jeffreymartinez@ward.com,1979-12-13,2024-08-16,Furniture,72.03,46,Valid,13-12-1979,251,16-08-2024,Valid
Robin Jones,pamela79@hotmail.com,1968-03-01,2024-08-09,Sports,328.08,57,Valid,01-03-1968,258,09-08-2024,Valid
Unknown,lorithompson@maddox.org,1979-01-13,2024-10-15,Sports,439.54,46,Valid,13-01-1979,191,15-10-2024,Valid
Kelly Mendez,thomasjennifer@woods-king.com,1961-11-11,2023-02-11,Toys,132.05,64,Valid,11-11-1961,803,11-02-2023,Valid
Thomas White,linda90@hotmail.com,1997-02-20,2024-01-17,Books,157.69,28,Valid,20-02-1997,463,17-01-2024,Valid
Noah Rogers,angela35@hotmail.com,1984-06-06,2022-09-13,Toys,355.41,41,Valid,06-06-1984,954,13-09-2022,Valid
George Hodge,marcusnelson@edwards.com,2006-03-12,2024-07-04,Toys,35.66,19,Valid,12-03-2006,294,04-07-2024,Valid
William Walker,changerica@nichols.org,1999-06-24,2022-10-17,Furniture,328.1,26,Valid,24-06-1999,920,17-10-2022,Valid
William Middleton,richard00@wilson-mitchell.com,1988-12-06,2023-12-03,Groceries,464.02,37,Valid,06-12-1988,508,03-12-2023,Valid
Javier Hammond,schmidtmegan@huynh-park.com,1977-01-17,2023-11-14,Furniture,375.27,48,Valid,17-01-1977,527,14-11-2023,Valid
Joy Clark,yfoster@hotmail.com,1990-03-08,2023-08-16,Electronics,289.21,35,Valid,08-03-1990,617,16-08-2023,Valid
Gina Roberson,cynthia82@hotmail.com,1973-12-21,2023-02-15,Toys,231.83,52,Valid,21-12-1973,799,15-02-2023,Valid
Unknown,sanchezlarry@gmail.com,1978-02-23,2023-04-11,Groceries,294.59,47,Valid,23-02-1978,744,11-04-2023,Valid
Chloe Vance,ilee@reid.com,2006-11-22,2024-07-02,Toys,170.64,19,Valid,22-11-2006,296,02-07-2024,Valid
Sophia Mendoza,richardhernandez@lopez-butler.biz,1964-10-24,2022-11-24,Books,250.568350877193,61,Valid,24-10-1964,882,24-11-2022,Valid
Terri Farrell,pamelasmith@gmail.com,1981-07-21,2022-11-24,Beauty,298.28,44,Valid,21-07-1981,882,24-11-2022,Valid
Thomas Munoz,bdavis@yahoo.com,1984-05-06,2022-10-24,Books,247.73,41,Valid,06-05-1984,913,24-10-2022,Valid
Nicole Bowen,melissamatthews@hotmail.com,1974-10-16,2025-03-01,Clothing,87.73,51,Valid,16-10-1974,54,01-03-2025,Valid
Garrett Ross,john79@flynn.com,1967-10-15,2022-08-14,Beauty,287.24,58,Valid,15-10-1967,984,14-08-2022,Valid
Kimberly Baker,tinasmith@fischer.org,1975-04-23,2023-12-31,Beauty,284.53,50,Valid,23-04-1975,480,31-12-2023,Valid
Kelly Avila,sorozco@yahoo.com,1954-11-13,2025-02-17,Books,246.37,71,Valid,13-11-1954,66,17-02-2025,Valid
Sandra Lee,perkinspeter@yahoo.com,1970-10-16,2025-01-19,Sports,382.37,55,Valid,16-10-1970,95,19-01-2025,Valid
Rebecca French,jamiejackson@mccormick.com,1998-03-26,2022-11-04,Books,257.66,27,Valid,26-03-1998,902,04-11-2022,Valid
Rachel Williams,kennethross@hotmail.com,2006-12-11,2024-01-22,Electronics,92.39,19,Valid,11-12-2006,458,22-01-2024,Valid
Becky Castaneda,meltonscott@griffin.com,1957-01-20,2024-06-18,Electronics,272.18,68,Valid,20-01-1957,310,18-06-2024,Valid
Kristy Carter,tracy29@yahoo.com,1969-05-16,2022-09-01,Toys,24.44,56,Valid,16-05-1969,966,01-09-2022,Valid
Ronald Lyons DVM,no_email@unknown.com,1974-05-24,2024-01-02,Toys,225.86,51,Valid,24-05-1974,478,02-01-2024,Valid
Justin Mueller,bethcalhoun@baker-brown.com,1994-12-16,2022-08-04,Furniture,148.01,31,Valid,16-12-1994,994,04-08-2022,Valid
Phillip Small,annahurst@gmail.com,2002-12-07,2024-11-13,Sports,421.15,23,Valid,07-12-2002,162,13-11-2024,Valid
Gregory Webster,dawnmolina@wilson-wong.com,1978-06-01,2023-06-30,Groceries,274.45,47,Valid,01-06-1978,664,30-06-2023,Valid
Lindsey Smith,no_email@unknown.com,2006-04-28,2024-04-09,Clothing,273.13,19,Valid,28-04-2006,380,09-04-2024,Valid
Diane Harrington,amyjohnson@oconnell.com,1999-12-19,2023-01-11,Furniture,360.89,26,Valid,19-12-1999,834,11-01-2023,Valid
Wayne Thomas,johnsonjonathan@baker.net,1976-08-02,2025-04-14,Sports,498.68,49,Valid,02-08-1976,10,14-04-2025,Valid
Cameron Robinson,andrew03@yahoo.com,2005-11-15,2023-09-11,Groceries,74.58,20,Valid,15-11-2005,591,11-09-2023,Valid
Nicholas Barnett,lburch@hotmail.com,1980-08-05,2023-08-08,Electronics,229.74,45,Valid,05-08-1980,625,08-08-2023,Valid
Hector Bell,vhanson@waller-rodriguez.net,1971-12-24,2024-03-03,Sports,209.73,54,Valid,24-12-1971,417,03-03-2024,Valid
Isaiah Kelly,brianchapman@gmail.com,1996-01-11,2023-08-22,Groceries,319.16,29,Valid,11-01-1996,611,22-08-2023,Valid
Nicole Berg,heather67@hotmail.com,1962-02-20,2024-04-28,Groceries,299.56,63,Valid,20-02-1962,361,28-04-2024,Valid
Scott Holmes,jessicagarza@yahoo.com,1993-09-19,2022-12-10,Furniture,201.72,32,Valid,19-09-1993,866,10-12-2022,Valid
Sarah Ryan,xmcguire@robertson.net,1976-09-11,2023-07-26,Toys,27.93,49,Valid,11-09-1976,638,26-07-2023,Valid
April Barker,lewisbrandon@garcia.info,1993-01-06,2024-01-06,Groceries,459.76,32,Valid,06-01-1993,474,06-01-2024,Valid
Unknown,stephenstanya@hotmail.com,1995-05-29,2025-03-13,Clothing,29.63,30,Valid,29-05-1995,42,13-03-2025,Valid
Charles Chandler,jbryant@hotmail.com,1988-09-15,2025-02-03,Books,172.65,37,Valid,15-09-1988,80,03-02-2025,Valid
Wendy Jimenez,lanemelissa@haley.com,1984-09-22,2024-05-03,Books,434.65,41,Valid,22-09-1984,356,03-05-2024,Valid
Amanda Smith,laurabennett@yahoo.com,2000-06-04,2022-08-07,Clothing,161.21,25,Valid,04-06-2000,991,07-08-2022,Valid
Daniel Anderson,karenwilliams@vargas.info,1984-05-24,2024-04-20,Beauty,129.34,41,Valid,24-05-1984,369,20-04-2024,Valid
Johnathan Mccoy,cynthiawhite@gilbert-maxwell.com,1999-09-06,2022-10-20,Electronics,326.4,26,Valid,06-09-1999,917,20-10-2022,Valid
Unknown,robertbowers@hart-best.com,1977-03-18,2023-02-18,Sports,154.08,48,Valid,18-03-1977,796,18-02-2023,Valid
Richard Lang,jessicahanson@gmail.com,1992-11-25,2022-12-28,Groceries,363.15,33,Valid,25-11-1992,848,28-12-2022,Valid
Susan Baker,lcontreras@gmail.com,1996-07-29,2024-02-08,Furniture,187.86,29,Valid,29-07-1996,441,08-02-2024,Valid
Scott Oliver,jameskyle@gmail.com,1974-05-25,2024-11-27,Books,333.17,51,Valid,25-05-1974,148,27-11-2024,Valid
Dawn Gallegos,richardmoss@mcdonald-potts.net,1995-10-13,2022-05-28,Electronics,388.0,30,Valid,13-10-1995,1062,28-05-2022,Valid
Monica Davidson,no_email@unknown.com,1990-11-13,2023-12-11,Groceries,118.68,35,Valid,13-11-1990,500,11-12-2023,Valid
Jaime Allen,hammondanthony@malone.com,1972-02-03,2022-12-04,Sports,272.61,53,Valid,03-02-1972,872,04-12-2022,Valid
Michael Mcintosh,no_email@unknown.com,1997-04-13,2022-08-14,Clothing,34.63,28,Valid,13-04-1997,984,14-08-2022,Valid
Patrick Mathews,tromero@hotmail.com,1964-11-24,2024-03-08,Toys,84.19,61,Valid,24-11-1964,412,08-03-2024,Valid
Alexa Kelley,williamsdonna@mcdowell.biz,1959-10-17,2024-01-14,Groceries,294.03,66,Valid,17-10-1959,466,14-01-2024,Valid
Tina Williams,teresahurst@james.com,1961-06-28,2025-03-06,Books,449.75,64,Valid,28-06-1961,49,06-03-2025,Valid
Katie Crosby,pallen@hotmail.com,1986-05-18,2022-10-27,Furniture,80.67,39,Valid,18-05-1986,910,27-10-2022,Valid
Chad Fernandez,kelsey88@gmail.com,1987-08-19,2024-07-28,Groceries,352.28,38,Valid,19-08-1987,270,28-07-2024,Valid
Kimberly Brewer,maria61@gmail.com,1960-01-08,2023-02-27,Beauty,144.19,65,Valid,08-01-1960,787,27-02-2023,Valid
Christopher Barrett,jessica95@boyle.com,1994-08-30,2023-05-07,Beauty,282.72,31,Valid,30-08-1994,718,07-05-2023,Valid
Timothy Sullivan,hubbardpeter@doyle.com,1981-05-18,2023-03-16,Groceries,83.71,44,Valid,18-05-1981,770,16-03-2023,Valid
Barbara Miller,trussell@thompson-garcia.com,1986-08-20,2023-06-21,Toys,154.32,39,Valid,20-08-1986,673,21-06-2023,Valid
Bryan Burke,no_email@unknown.com,1982-06-04,2023-06-01,Toys,490.85,43,Valid,04-06-1982,693,01-06-2023,Valid
James Murray,ibell@stuart.com,1965-05-05,2025-03-07,Beauty,192.93,60,Valid,05-05-1965,48,07-03-2025,Valid
Louis Wilson,xbright@hotmail.com,1993-06-13,2024-02-11,Sports,250.568350877193,32,Valid,13-06-1993,438,11-02-2024,Valid
John Johnson,bjohnson@hotmail.com,1969-01-22,2022-06-05,Beauty,66.31,56,Valid,22-01-1969,1054,05-06-2022,Valid
Aaron Garza,rodneyfreeman@yahoo.com,1995-10-22,2023-05-21,Books,234.85,30,Valid,22-10-1995,704,21-05-2023,Valid
Jennifer Wagner,felicia20@alvarez.com,1977-11-22,2023-11-07,Beauty,120.44,48,Valid,22-11-1977,534,07-11-2023,Valid
Victoria Farrell,robert32@gmail.com,1965-09-13,2024-02-12,Furniture,271.8,60,Valid,13-09-1965,437,12-02-2024,Valid
Karen Garcia,mooredonald@gmail.com,2003-06-14,2023-03-17,Sports,17.51,22,Valid,14-06-2003,769,17-03-2023,Valid
Christina Hess,xmiller@kirby.net,1961-12-28,2023-08-25,Beauty,168.82,64,Valid,28-12-1961,608,25-08-2023,Valid
Karen Hunt,angelalong@ortega.com,1956-03-06,2025-01-19,Sports,342.52,69,Valid,06-03-1956,95,19-01-2025,Valid
Adam Martin,dana70@sherman.info,1994-02-12,2023-10-22,Books,449.98,31,Valid,12-02-1994,550,22-10-2023,Valid
Christian Smith,jenkinsmichael@gmail.com,1999-04-30,2023-01-01,Groceries,399.51,26,Valid,30-04-1999,844,01-01-2023,Valid
Jesse Sanchez,poolelori@gmail.com,1997-10-08,2024-02-04,Electronics,386.29,28,Valid,08-10-1997,445,04-02-2024,Valid
Brian Mcneil,christopher78@rice.net,1984-09-01,2024-11-11,Groceries,125.6,41,Valid,01-09-1984,164,11-11-2024,Valid
Rachel Hayden,joseph03@russell.org,1995-12-12,2024-01-25,Books,34.46,30,Valid,12-12-1995,455,25-01-2024,Valid
Maria Gutierrez,eatonashley@yahoo.com,1960-06-23,2023-01-06,Books,120.28,65,Valid,23-06-1960,839,06-01-2023,Valid
Sharon Black,richardsonrobert@yahoo.com,1999-06-30,2023-05-28,Toys,292.3,26,Valid,30-06-1999,697,28-05-2023,Valid
Frank Rivera,john79@yahoo.com,1993-11-23,2024-09-25,Clothing,234.37,32,Valid,23-11-1993,211,25-09-2024,Valid
Sarah Thompson,wbrown@vincent.com,2006-10-27,2024-09-09,Beauty,100.27,19,Valid,27-10-2006,227,09-09-2024,Valid
John Blair,no_email@unknown.com,1985-10-31,2022-10-16,Books,106.17,40,Valid,31-10-1985,921,16-10-2022,Valid
Unknown,bjones@steele.org,2007-02-10,2024-03-08,Furniture,176.01,18,Valid,10-02-2007,412,08-03-2024,Valid
Jonathan French,no_email@unknown.com,1980-05-04,2023-09-06,Clothing,463.3,45,Valid,04-05-1980,596,06-09-2023,Valid
Paula Duncan,shughes@johnson.com,1966-02-10,2022-10-16,Beauty,290.32,59,Valid,10-02-1966,921,16-10-2022,Valid
Katherine Payne,martinmiddleton@lester.info,1996-12-12,2025-02-16,Electronics,307.57,29,Valid,12-12-1996,67,16-02-2025,Valid
Kyle Smith,littlejennifer@yahoo.com,1986-03-09,2023-10-11,Toys,250.568350877193,39,Valid,09-03-1986,561,11-10-2023,Valid
Jason Fischer MD,tanya02@yahoo.com,1991-05-03,2024-08-20,Sports,323.66,34,Valid,03-05-1991,247,20-08-2024,Valid
Jennifer Fischer,alexisvalencia@gmail.com,1994-06-25,2023-03-25,Beauty,5.01,31,Valid,25-06-1994,761,25-03-2023,Valid
Teresa Lamb,kmcdonald@gmail.com,1964-12-29,2023-01-30,Groceries,341.26,61,Valid,29-12-1964,815,30-01-2023,Valid
Richard Grant,jimwillis@wood.com,1993-06-22,2025-03-31,Furniture,309.25,32,Valid,22-06-1993,24,31-03-2025,Valid
Henry Vasquez,regina75@clark-austin.com,1959-04-11,2023-10-01,Books,103.94,66,Valid,11-04-1959,571,01-10-2023,Valid
Antonio Roberts,bauerwilliam@jones.biz,1994-07-13,2022-05-29,Furniture,187.56,31,Valid,13-07-1994,1061,29-05-2022,Valid
Mark Burton,christophersutton@hotmail.com,1989-06-14,2022-08-30,Books,346.62,36,Valid,14-06-1989,968,30-08-2022,Valid
Kurt Hammond,austin91@gmail.com,1993-02-08,2022-11-13,Groceries,370.9,32,Valid,08-02-1993,893,13-11-2022,Valid
Denise Meyer,amanda18@beard.com,1965-04-16,2022-08-29,Beauty,283.02,60,Valid,16-04-1965,969,29-08-2022,Valid
Edward Strong,no_email@unknown.com,1986-08-19,2024-10-04,Clothing,222.82,39,Valid,19-08-1986,202,04-10-2024,Valid
Paige Bailey,christopherdavis@stark.net,1997-07-08,2024-08-15,Electronics,25.45,28,Valid,08-07-1997,252,15-08-2024,Valid
Scott Rogers,waynegill@johnson.biz,1976-02-14,2025-03-03,Furniture,396.92,49,Valid,14-02-1976,52,03-03-2025,Valid
Dean Martinez,pamelapayne@gmail.com,1966-07-16,2023-06-05,Clothing,402.99,59,Valid,16-07-1966,689,05-06-2023,Valid
Linda Richardson,craig23@bruce.org,1998-10-27,2022-12-29,Toys,331.71,27,Valid,27-10-1998,847,29-12-2022,Valid
Victoria Campbell,santosjesse@johnson-rodriguez.info,1968-04-11,2024-11-06,Beauty,394.33,57,Valid,11-04-1968,169,06-11-2024,Valid
Nathan Adkins,thompsonadam@greer-liu.biz,1972-12-06,2024-04-23,Toys,361.95,53,Valid,06-12-1972,366,23-04-2024,Valid
Tiffany Warren,ndavis@richardson.com,1969-11-23,2024-08-02,Clothing,193.23,56,Valid,23-11-1969,265,02-08-2024,Valid
Gregory Molina,ncampbell@taylor.com,1964-08-20,2024-02-27,Toys,82.86,61,Valid,20-08-1964,422,27-02-2024,Valid
Donna Banks,dennis30@gmail.com,1960-03-21,2022-09-04,Sports,7.66,65,Valid,21-03-1960,963,04-09-2022,Valid
Mario Howard,mcgrathlaurie@yahoo.com,1988-07-16,2024-02-19,Groceries,203.14,37,Valid,16-07-1988,430,19-02-2024,Valid
Sharon Hardin,wwilliams@white.com,1959-02-18,2023-02-18,Groceries,358.54,66,Valid,18-02-1959,796,18-02-2023,Valid
Kevin Miller,othomas@smith-jones.com,1996-07-30,2023-04-27,Books,485.87,29,Valid,30-07-1996,728,27-04-2023,Valid
Jennifer Rosario,ohamilton@porter.net,1978-09-23,2023-07-21,Electronics,461.93,47,Valid,23-09-1978,643,21-07-2023,Valid
Mark Williams,jwhite@thompson.com,1968-03-21,2023-12-23,Beauty,265.61,57,Valid,21-03-1968,488,23-12-2023,Valid
